"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","16/02/2021","47190"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","16/11/2020","47190"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","14/08/2020","47190"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","15/06/2021","1507"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","01/06/2021","1507"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","18/05/2021","9046"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","12/05/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","14/04/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","31/03/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","14/10/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","30/09/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","16/09/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","02/09/2020","1625"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","21/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","16/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","15/10/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","04/11/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","10/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","04/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","01/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","15/07/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","30/07/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","05/08/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","18/11/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","19/11/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","19/08/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","12/05/2021","99996"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","02/07/2020","12500"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","12/10/2020","12832"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","31/07/2020","12500"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","26/10/2020","12500"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","11/09/2020","12500"
"2020-21","Political Party Return","Australian Greens","Dept Finance","02/02/2021","94600"
"2020-21","Political Party Return","Australian Greens","Dept Finance","14/06/2021","15718"
"2020-21","Political Party Return","Australian Greens","Dept Finance","20/10/2020","220000"
"2020-21","Political Party Return","Australian Greens","WA Office of State Revenue","27/08/2020","17500"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance","","295000"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance Ministerial and Parlimentary Services","","31948"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance","","1100000"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance","","140000"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","15/01/2021","1594"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE , and Aged Care Training Initiatives","01/06/2021","55000"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/12/2020","836"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/03/2021","1580"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/11/2020","1422"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","28/09/2020","13672"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","14/10/2020","1091"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/10/2020","915"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/09/2020","836"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","17/08/2020","1358"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/06/2021","679"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/02/2021","1186"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE , and Aged Care Training Initiatives","05/01/2021","198000"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","05/05/2021","486"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","16/04/2021","1508"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","15/04/2021","29150"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","21/05/2021","10450"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE , and Aged Care Training Initiatives","16/11/2020","250"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","07/06/2021","15400"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","02/03/2021","25740"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","19/03/2021","10980"
