"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2014-15","Community and Public Sector Union (PSU Group)","","Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); ","31804384","31455425","1559087","0","0"
"2014-15","Construction Forestry Maritime Mining & Energy Union The Construction & General Division ACT Divisional Branch","","Australian Labor Party (ACT Branch); ","2623160","2916303","158884","0","0"
"2014-15","Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division","Construction Forestry Mining & Energy Union, Construction & General Division, Queensland Nothern Territory Divisional Branch","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","20764456","17403551","1068688","0","0"
"2014-15","Cormack Foundation Pty Ltd","","Liberal Party of Australia (Victorian Division); Liberal Party of Australia; ","5417411","5129028","0","0","0"
"2014-15","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","0","1241","0","0","0"
"2014-15","Dunkley Blue Ribbon Club","","Liberal Party of Australia (Victorian Division); ","42714","11430","0","0","0"
"2014-15","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); ","10835846","10251112","297901","0","0"
"2014-15","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","2065236","2309760","3547902","0","0"
"2014-15","EMILY's List Australia","","Australian Labor Party (ALP); ","339827","353894","22070","0","0"
"2014-15","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","107558","155623","0","0","0"
"2014-15","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","1706737","1706737","0","0","0"
"2014-15","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","1071499","1071499","0","0","0"
"2014-15","Finance Sector Union of Australia - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","3529526","3529526","0","0","0"
"2014-15","Finance Sector Union of Australia - VIC/TAS Branch","","Australian Labor Party (Victorian Branch); ","2950647","2950647","0","0","0"
"2014-15","Finance Sector Union of Australia - WA Branch","","Australian Labor Party (Western Australian Branch); ","998880","998880","0","0","0"
"2014-15","Flight Attendants Association of Australia - National Division","","Australian Labor Party (N.S.W. Branch); ","1466003","1437090","163317","0","0"
"2014-15","Forest Hill Supporters' Club","","Liberal Party of Australia (Victorian Division); ","9540","3691","1957","0","0"
"2014-15","Foundation 51 Pty Ltd","","Country Liberals (Northern Territory); ","11201","43195","0","0","0"
"2014-15","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","96710","284785","710000","0","0"
"2014-15","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","8698","29566","0","0","0"
"2014-15","Health & Community Services Union Vic No. 2 HSU","","Australian Labor Party (Victorian Branch); ","4229563","3814892","509303","0","0"
"2014-15","Health Services Union SA Branch","","Australian Labor Party (South Australian Branch); ","368830","314905","208581","0","0"
"2014-15","Health Services Union, Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","4294095","4115494","125489","0","0"
"2014-15","Higgins 200 Club","","Liberal Party of Australia (Victorian Division); ","300624","238053","0","0","0"
"2014-15","Higgins Foundation Ltd","","Liberal Party of Australia (Victorian Division); ","44049","8436","0","0","0"
"2014-15","Industrial Staff Union","","Australian Labor Party (N.S.W. Branch); ","35986","16181","0","0","0"
"2014-15","John Curtin House Limited","","Australian Labor Party (ALP); ","2874290","2689842","0","0","0"
"2014-15","John McEwen House Pty Ltd","","National Party of Australia; ","1376721","1488923","1643284","0","0"
"2014-15","Kaye Sutherland Memorial Bequest Fund","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2014-15","Kooyong 200 Club","","Liberal Party of Australia (Victorian Division); ","444730","306438","0","0","0"
"2014-15","Labor Campaign Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","154","32801","0","0","0"
"2014-15","Labor Holdings Pty Ltd","","Australian Labor Party (State of Queensland); ","10022441","9058490","3010010","0","0"
"2014-15","Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust","","Australian Labor Party (Victorian Branch); ","4536561","5193030","112660","0","5009792"
"2014-15","Land Value Taxation Society of Australia","","Republican Party of Australia; ","0","0","0","0","0"
"2014-15","Liberal Asset Management (Custodians) Limited","","Liberal Party of Australia, NSW Division; ","50303","29822","549984","0","0"
"2014-15","Liberal Club Limited","","Liberal Party of Australia (S.A. Division); ","87922","78754","22000","0","0"
"2014-15","Liberal Properties Limited","","Liberal Party of Australia, NSW Division; ","2975","317","3750","0","0"
"2014-15","LPPH Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","105718","96092","18486","0","0"
"2014-15","Macedon Speakers Club","","Liberal Party of Australia (Victorian Division); ","4952","17888","0","0","0"
"2014-15","Mallen's Colac Hotel Pty Ltd","","Australian Labor Party (South Australian Branch); ","11472","253617","0","0","0"
"2014-15","Media Entertainment & Arts Alliance","Media Entertainment Arts & Alliance - VIC Branch; Media Entertainment ARts & Alliance - QLD Branch; Media Entertainment Arts & Alliance - SA Branch; Media Entertainment Arts & Alliance - WA Office; Media Entertainment & Arts Alliance NSW Branch","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); ","12640308","12808427","733479","0","0"
"2014-15","Mehring Books Pty Ltd","","Socialist Equality Party; ","236308","231536","0","0","0"
"2014-15","Menzies 200 Club","","Liberal Party of Australia (Victorian Division); ","143614","34893","0","0","0"
"2014-15","Mornington Gold","","Liberal Party of Australia (Victorian Division); ","6357","36921","0","0","0"
"2014-15","National Union of Workers - National Office","General Branch","Australian Labor Party (ALP); ","12698007","12096075","859776","0","0"
"2014-15","National Union of Workers - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","8430548","8207129","609123","0","0"
"2014-15","National Union of Workers - Victorian Branch","","Australian Labor Party (Victorian Branch); ","14202390","14041106","483310","0","0"
"2014-15","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","Australian Labor Party (N.S.W. Branch); ","15473292","14931306","3683605","0","0"
"2014-15","North Eastern Business Circle","","Liberal Party of Australia (Victorian Division); ","13468","16016","0","0","0"
"2014-15","North West 200 Club","","Liberal Party of Australia (Victorian Division); ","6990","25413","0","0","0"
"2014-15","Northern Territory ALP Investment Trust","","Australian Labor Party (Northern Territory) Branch; ","34518","28969","125585","0","0"
"2014-15","NSW Labor Campaign Investment Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","275","20718","0","0","0"
"2014-15","NTN Services ","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","215786","212096","0","0","0"
"2014-15","OUTER EASTERN Platinum Club","","Liberal Party of Australia (Victorian Division); ","100570","208428","0","0","0"
"2014-15","Parakeelia Pty Ltd","","Liberal Party of Australia; ","932234","881338","18339","0","0"
"2014-15","Parliamentary Liberal Party Communication Committee (Victoria)","","Liberal Party of Australia (Victorian Division); ","54833","359483","0","0","0"
"2014-15","Perth Trades Hall Inc","","Australian Labor Party (Western Australian Branch); ","127678","121987","1326280","0","0"
"2014-15","Pilliwinks Pty Ltd as Trustee National Party Foundation","","National Party of Australia - Victoria; ","76154","320000","564706","0","0"
"2014-15","Progressive Business Association Inc","","Australian Labor Party (Victorian Branch); ","1596771","1404014","59928","0","0"
"2014-15","Queensland Services, Industrial Union of Employees","","Australian Labor Party (State of Queensland); ","29513","860524","0","0","0"
"2014-15","Ripon 250 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2014-15","SA Progressive Business Incorporated","","Australian Labor Party (South Australian Branch); ","482681","285179","17444","0","0"
"2014-15","Scoresby City Club","","Liberal Party of Australia (Victorian Division); ","41644","69009","0","0","0"
"2014-15","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","","Australian Labor Party (N.S.W. Branch); ","3979784","4012845","0","0","0"
"2014-15","Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office","","Australian Labor Party (N.S.W. Branch); ","19324568","16557039","648419","0","0"
"2014-15","Shop Distributive & Allied Employees Association - Tasmanian Branch","","Australian Labor Party (Tasmanian Branch); ","1956550","1891012","248617","0","0"
"2014-15","Shop Distributive & Allied Employees Association - VIC Branch","","Australian Labor Party (Victorian Branch); ","15413982","14241313","531909","0","0"
"2014-15","Shop Distributive & Allied Employees' Association NSW Branch","","Australian Labor Party (N.S.W. Branch); ","5030033","5045641","49477","0","0"
"2014-15","Shop Distributive and Allied Employees Association (QLD Branch)","","Australian Labor Party (ALP); ","11764820","12250495","1736414","0","0"
"2014-15","Shop, Distributive & Allied Employees' Association - National","","Australian Labor Party (ALP); ","9459332","7328522","484933","0","0"
"2014-15","Shop, Distributive and Allied Employees Association, South Australia","","Australian Labor Party (South Australian Branch); ","7935911","8874981","361784","0","0"
"2014-15","Shop, Distributive and Allied Employees Association, South Australian and Northern Territory Branch","","Australian Labor Party (Northern Territory) Branch; ","1608587","1472280","32724","0","0"
"2014-15","Sir Charles Court Foundation","SCCF WA Pty Ltd","Liberal Party (W.A. Division) Inc.; ","126379","20848","0","0","0"
"2014-15","Team 200 Club","","Liberal Party of Australia (Victorian Division); ","99818","226347","0","0","0"
"2014-15","Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch); ","924049","1428502","104885","0","0"
"2014-15","Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch","","Australian Labor Party (Victorian Branch); ","1546063","1767025","25847","0","0"
"2014-15","The 500 Club Inc","","Liberal Party (W.A. Division) Inc.; ","830974","503672","24463","0","0"
"2014-15","The Australian Workers' Union - Greater NSW Branch","","Australian Labor Party (N.S.W. Branch); ","7677879","6503958","947929","0","0"
"2014-15","The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch","","Australian Labor Party (N.S.W. Branch); ","2368040","2090621","871411","0","0"
"2014-15","The Australian Workers' Union of Employees Queensland","","Australian Labor Party (State of Queensland); ","14680761","15220276","6258897","0","0"
"2014-15","The Australian Workers' Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","9208501","9151199","581378","0","0"
"2014-15","The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia","","Australian Labor Party (Western Australian Branch); ","291517","1139159","23268","0","0"
"2014-15","The Chifley Research Centre Ltd","","Australian Labor Party (ALP); ","486644","513839","0","0","0"
"2014-15","The Federation of Hunting Clubs Inc","","Shooters and Fishers Party; ","38301","40363","2200","0","0"
"2014-15","The Food Preservers' Union of Western Australia Union of Workers","","Australian Labor Party (Western Australian Branch); ","62823","133372","10191","0","0"
"2014-15","The Free Enterprise Foundation","","Liberal Party of Australia; National Party of Australia; ","845","201057","0","0","0"
"2014-15","The Geelong 500 Club Inc","","Liberal Party of Australia (Victorian Division); National Party of Australia - Victoria; Liberal Party of Australia; ","17727","14990","0","0","0"
"2014-15","The Green Institute Limited","","Australian Greens; ","110875","93254","2131","0","0"
"2014-15","The Greenfields Foundation","","Liberal Party of Australia; ","50007","35703","0","0","0"
"2014-15","The Lady Wilson Foundation","","Liberal Party of Australia (S.A. Division); ","5720","60","0","0","0"
"2014-15","The Liberal Foundation Inc","","Liberal Party of Australia (S.A. Division); ","149939","135541","0","0","0"
"2014-15","The Liberal Party of Western Australia Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","2443878","2579574","2740","0","0"
"2014-15","The Menzies Research Centre Limited","","Liberal Party of Australia; ","538690","500585","45138","0","0"
"2014-15","The Monash Club","","Liberal Party of Australia (Victorian Division); ","60607","98479","0","0","0"
"2014-15","The Nepean Club","","Liberal Party of Australia (Victorian Division); ","2223","6240","0","0","0"
"2014-15","The Page Research Centre Ltd","","National Party of Australia; ","107575","113163","7079","0","0"
"2014-15","The Sapphire Club","","Liberal Party of Australia (Victorian Division); ","37811","69304","0","0","0"
"2014-15","The Shop, Distributive & Allied Employees' Association of Western Australia","","Australian Labor Party (Western Australian Branch); ","8116738","8472945","866858","0","0"
"2014-15","The Sydney Small Business Club (The Warringah Club)","","Liberal Party of Australia; ","4400","2010","0","0","0"
"2014-15","The United Professional Firefighters Union of Western Australia","","Australian Labor Party (Western Australian Branch); ","1440771","1284181","56005","0","0"
"2014-15","The Violet Bobin Trust","","Australian Labor Party (State of Queensland); ","20800","19120","0","0","0"
"2014-15","Transport Workers Union (WA Branch)","","Australian Labor Party (Western Australian Branch); ","4816236","4947121","0","0","0"
"2014-15","Transport Workers Union of Australia - NSW Branch","","Australian Labor Party (ACT Branch); ","2039948","2169888","334436","0","0"
"2014-15","Transport Workers Union of Australia NSW QLD Interim Governance Branch formerly Transport Workers Union of Australia Queensland","","Australian Labor Party (State of Queensland); ","7316838","8519477","785126","0","0"
"2014-15","Transport Workers Union of Australia SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (ALP); ","2250934","2293269","0","0","0"
"2014-15","Transport Workers Union of New South Wales","","Australian Labor Party (N.S.W. Branch); ","11862841","13046098","2490081","0","0"
"2014-15","Transport Workers Union VIC/TAS Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","7162909","7205098","609425","0","0"
"2014-15","United Firefighters Union of Australia QLD Branch","","Australian Labor Party (State of Queensland); ","166706","212572","0","0","0"
"2014-15","United Firefighters Union of Australia Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","299928","266580","0","0","0"
"2014-15","United Firefighters Union of Australia VIC","","Australian Labor Party (Victorian Branch); ","5438854","2131973","63732","0","0"
"2014-15","United Firefighters Union of SA Inc","","Australian Labor Party (South Australian Branch); ","810315","723305","13445","0","0"
"2014-15","United Workers Union","United Voice Tasmanian Branch ; UNITED VOICE NT BRANCH; UNITED VOICE WA BRANCH; UNITED VOICE QLD BRANCH; UNITED VOICE VIC BRANCH; UNITED VOICE NSW BRANCH (Excl LHD Division); United Voice South Australia Branch; United Voice ACT Branch ","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Western Australian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (ACT Branch); Australian Labor Party (Northern Territory) Branch; ","98569481","95542875","3765753","0","0"
"2014-15","Vapold Pty Ltd","","Liberal Party of Australia (Victorian Division); ","778886","678285","108563","0","0"
"2014-15","Western Australian Prison Officers' Union of Workers","","Australian Labor Party (Western Australian Branch); ","2177977","2050839","115697","0","0"
"2014-15","YLNP No. 1 Ltd (James Killen Foundation)","","Liberal National Party of Queensland; ","0","1146","0","0","0"
"2014-15","Young Liberal Movement of Australia Trust Fund","","Liberal Party of Australia; ","0","0","0","0","0"
"2013-14","1973 Foundation Pty Ltd","","Australian Labor Party (ACT Branch); ","3007313","354288","20145","0","0"
"2013-14","A.C.N. 009 936 010 Pty Ltd","","Liberal National Party of Queensland; ","503658","1623088","8700229","0","0"
"2013-14","A.C.N. 010 507 614 Pty Ltd","","Liberal National Party of Queensland; ","987442","932635","10389091","0","0"
"2013-14","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","","Australian Labor Party (South Australian Branch); ","67103","55850","1277087","0","0"
"2013-14","Altum Pty Ltd as Trustee for the Altum Head Quarters Trust","","Liberal National Party of Queensland; ","0","86","331989","0","0"
"2013-14","ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch","","Australian Labor Party (N.S.W. Branch); ","976550","932801","231523","0","0"
"2013-14","ASU Victorian Private Sector Branch","","Australian Labor Party (Victorian Branch); ","2275300","2071179","110895","0","0"
"2013-14","Aust Building Const Employees & Builders Labour Fed (QLD Br)","","Australian Labor Party (State of Queensland); ","6022546","6178430","0","0","0"
"2013-14","Australasian Meat Industry Employees Union - Newcastle, Northern, South Australian & Tasmanian Branch","","Australian Labor Party (N.S.W. Branch); ","1250850","1134616","108967","0","0"
"2013-14","Australasian Meat Industry Employees' Union - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","1533553","1375158","76338","0","0"
"2013-14","Australasian Meat Industry Employees' Union - QWANT Branch","","Australian Labor Party (State of Queensland); ","2562394","2708658","0","0","0"
"2013-14","Australasian Meat Industry Employees Union (Tasmanian Branch)","","Australian Labor Party (Tasmanian Branch); ","160979","164957","0","0","0"
"2013-14","Australasian Meat Industry Employees Union SA & WA Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch); ","837864","814814","12573","0","0"
"2013-14","Australasian Meat Industry Employees Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","1383633","1276268","381127","0","0"
"2013-14","Australian Federated Union of Locomotive Employees","","Australian Labor Party (State of Queensland); ","805691","703005","0","0","0"
"2013-14","Australian Institute of Marine and Power Engineers","AIMPE SYDNEY BRANCH; AIMPE VIC/TAS BRANCH; AIMPE NEWCASTLE BRANCH; AIMPE WEST AUSTRALIA BRANCH; AIMPE SOUTH AUSTRALIA BRANCH; AIMPE QUEENSLAND BRANCH","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); ","3181175","3086712","0","0","0"
"2013-14","Australian Labor Party (Legacies and Gifts) Ltd","","Australian Labor Party (ALP); ","0","0","0","0","0"
"2013-14","Australian Labor Party (NSW) Gifts Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2013-14","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","","Australian Labor Party (State of Queensland); ","3507946","3453818","455185","0","0"
"2013-14","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","","Australian Labor Party (State of Queensland); ","6769779","6289319","458674","0","0"
"2013-14","Australian Rail Tram & Bus Industry Union New South Wales Branch","","Australian Labor Party (N.S.W. Branch); ","9550869","7684242","761135","0","0"
"2013-14","Australian Rail Tram & Bus Industry Union SA/NT","","Australian Labor Party (South Australian Branch); ","746262","691543","0","0","0"
"2013-14","Australian Rail Tram & Bus Industry Union, Queensland Branch","","Australian Labor Party (State of Queensland); ","3963933","3445138","362549","0","0"
"2013-14","Australian Rail Tram & Bus Union (Victorian Branch)","","Australian Labor Party (Victorian Branch); ","4597441","4475775","355790","0","0"
"2013-14","Australian Rail Tram and Bus Industry Union, Western Australia Branch","","Australian Labor Party (Western Australian Branch); ","1286994","1276242","17582","0","0"
"2013-14","Australian Rail,Tram & Bus Industry - TAS Branch","","Australian Labor Party (Tasmanian Branch); ","144685","163447","0","0","0"
"2013-14","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","11265487","11204908","2337314","0","0"
"2013-14","Australian Services Union of NSW & ACT (Services) Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","5327027","5420119","1265308","0","0"
"2013-14","Australian Services Union SA - NT Branch","Australian Service Union SA-NT Branch","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","3700713","3467245","236919","0","0"
"2013-14","Australian Workers Union SA Branch","","Australian Labor Party (South Australian Branch); ","3570925","3279513","130127","0","0"
"2013-14","Australian Workers Union WA Branch","","Australian Labor Party (Western Australian Branch); ","4663460","4635606","734881","0","0"
"2013-14","Automotive Food Metals Engineering Printing & Kindred Ind. Union","AFMEPKIU NATIONAL COUNCIL; AFMEPKIU NSW STATE COUNCIL; AFMEPKIU VICTORIA STATE COUNCIL; AFMEPKIU QUEENSLAND STATE COUNCIL; AFMEPKIU SOUTH AUSTRALIA STATE COUNCIL; AFMEPKIU WESTERN AUSTRALIA STATE COUNCIL; AFMEPKIU TASMANIA STATE COUNCIL","Australian Labor Party (ALP); Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); ","62044349","55154275","1099896","0","0"
"2013-14","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (Tasmanian Branch); ","1528330","1429996","5039","0","0"
"2013-14","AWU Port Kembla Branch","","Australian Labor Party (N.S.W. Branch); ","1403324","1120411","319157","0","0"
"2013-14","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","33124","32630","0","0","0"
"2013-14","Bayside Forum","","Liberal Party of Australia (Victorian Division); ","56632","130318","11645","0","0"
"2013-14","Bendigo 250 Club","","Liberal Party of Australia (Victorian Division); ","13932","15840","0","0","0"
"2013-14","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","66100","84429","0","0","0"
"2013-14","Blind Workers Union of Victoria","","Australian Labor Party (Victorian Branch); ","56136","47121","0","0","0"
"2013-14","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","3710892","3843008","1935297","0","0"
"2013-14","Business First","","Liberal Party of Australia (Victorian Division); ","0","3349","0","0","0"
"2013-14","Campaign for Australian Constitutional Change","","Republican Party of Australia; ","600","600","0","0","0"
"2013-14","Canberra Labor Club Limited","","Australian Labor Party (ACT Branch); ","64624919","63780454","11359120","0","0"
"2013-14","Caulfield Challenge 200 Club","","Liberal Party of Australia (Victorian Division); ","37701","22078","0","0","0"
"2013-14","CEC Australia (Services) Pty Ltd","","Citizens Electoral Council of Australia; ","2245753","2224039","1378376","0","0"
"2013-14","CEPU - Electrical Division QLD & NT ","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","8256255","8875958","0","0","0"
"2013-14","CEPU (T&S) NSW Branch","","Australian Labor Party (N.S.W. Branch); ","578653","637024","59972","0","0"
"2013-14","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","931311","1325943","0","0","0"
"2013-14","CEPU Communications Division (CWU QLD Branch)","","Australian Labor Party (State of Queensland); ","1541307","1541932","0","0","0"
"2013-14","CEPU Communications Division SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","878094","1033608","0","0","7754"
"2013-14","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","2103982","2472485","0","0","0"
"2013-14","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (Western Australian Branch); ","3647285","3440550","158742","0","0"
"2013-14","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1667914","1685151","9475","0","0"
"2013-14","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); ","1466865","1271560","229552","0","0"
"2013-14","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (State of Queensland); ","3828194","3427873","128701","0","0"
"2013-14","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","8410743","7387440","855681","0","0"
"2013-14","CFMEU - Construction & General Division (WA Branch)","","Australian Labor Party (Western Australian Branch); ","10882517","16380345","0","0","0"
"2013-14","CFMEU Construction & General Division VIC/TAS Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","38228697","24208012","319870","0","0"
"2013-14","CFMEU Construction and General Division, New South Wales Divisional Branch","","Australian Labor Party (N.S.W. Branch); ","16369481","15808474","0","0","0"
"2013-14","CFMEU FFPD New South Wales District","","Australian Labor Party (N.S.W. Branch); ","523224","915606","15596","0","0"
"2013-14","CFMEU FFPD South Australia District","","Australian Labor Party (South Australian Branch); ","499298","602762","16900","0","0"
"2013-14","CFMEU FFPD Tasmanian District","","Australian Labor Party (Tasmanian Branch); ","107111","267532","4121","0","0"
"2013-14","CFMEU FFPD Victorian District","","Australian Labor Party (Victorian Branch); ","1469192","970290","33054","0","0"
"2013-14","CFMEU Mining & Energy Division (Qld District Branch)","","Australian Labor Party (State of Queensland); ","16133634","17239445","4623113","0","0"
"2013-14","CFMEU Northern Mining & NSW Energy District","","Australian Labor Party (N.S.W. Branch); ","25070252","23849665","681302","0","0"
"2013-14","CFMMEU - Maritime Union of Australia Division","","Australian Labor Party (ALP); ","25700117","25785813","3194584","0","0"
"2013-14","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","0","1930","0","0","0"
"2013-14","Citizens Media Group Pty Ltd","","Citizens Electoral Council of Australia; ","76108","57552","244876","0","0"
"2013-14","CLP Gifts & Legacies Pty Ltd","","Country Liberals (Northern Territory); ","33192","31333","0","0","0"
"2013-14","Coal Miners Industrial Union of Workers of WA Collie","","Australian Labor Party (Western Australian Branch); ","496047","451632","27846","0","0"
"2013-14","Communication Workers Union Central Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","3825124","3280622","203449","0","0"
"2013-14","Community and Public Sector Union (PSU Group)","","Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); ","30614054","30159026","1387939","0","0"
"2013-14","Construction Forestry Maritime Mining & Energy Union The Construction & General Division ACT Divisional Branch","","Australian Labor Party (ACT Branch); ","2243943","2505795","84135","0","0"
"2013-14","Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division","Construction Forestry Mining and Energy Union, Construction and General Division, Queensland Northern Territory Divisional Br","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","18567664","16305432","638610","0","0"
"2013-14","Cormack Foundation Pty Ltd","","Liberal Party of Australia (Victorian Division); Liberal Party of Australia; ","4500947","4654044","0","0","0"
"2013-14","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","25969","11378","0","0","0"
"2013-14","Dunkley Blue Ribbon Club","","Liberal Party of Australia (Victorian Division); ","35594","62706","0","0","0"
"2013-14","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); ","8709946","8161083","662374","0","0"
"2013-14","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","1658163","2338985","0","0","0"
"2013-14","EMILY's List Australia","","Australian Labor Party (ALP); ","266879","280024","17788","0","0"
"2013-14","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","50068","21918","0","0","0"
"2013-14","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","1767285","1767285","0","0","0"
"2013-14","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","1013527","1013527","0","0","0"
"2013-14","Finance Sector Union of Australia - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","3757904","3757904","0","0","0"
"2013-14","Finance Sector Union of Australia - VIC/TAS Branch","","Australian Labor Party (Victorian Branch); ","2946417","2946417","0","0","0"
"2013-14","Finance Sector Union of Australia - WA Branch","","Australian Labor Party (Western Australian Branch); ","968748","968748","0","0","0"
"2013-14","Flight Attendants Association of Australia - National Division","","Australian Labor Party (N.S.W. Branch); ","1721960","1675455","119141","0","0"
"2013-14","Foundation 51 Pty Ltd","","Country Liberals (Northern Territory); ","188824","162541","0","0","0"
"2013-14","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","32455","2758","2109","0","0"
"2013-14","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","12538","11771","0","0","0"
"2013-14","Hawthorn Speakers Forum","","Liberal Party of Australia (Victorian Division); ","10300","0","0","0","0"
