"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2024-25","Perth Trades Hall Inc","","Australian Labor Party (Western Australian Branch); ","2920259","3145889","1174099","0","0"
"2024-25","Pilliwinks Pty Ltd as Trustee National Party Foundation","","National Party of Australia - Victoria; ","160756","303841","925271","0","0"
"2024-25","Project Indigold Pty Ltd","","Ms Zoe Daniel MP; ","1834832","1795594","0","0","0"
"2024-25","Queensland Services, Industrial Union of Employees","","Australian Labor Party (State of Queensland); ","10755","82053","4500","0","0"
"2024-25","RIVERINA REIMAGINED PTY LTD","","Jenny Lee Rolfe; ","0","0","0","0","0"
"2024-25","SA Progressive Business Incorporated","","Australian Labor Party (South Australian Branch); ","2378829","2391535","0","0","0"
"2024-25","Scoresby City Club","","Liberal Party of Australia (Victorian Division); ","38274","20381","0","0","0"
"2024-25","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","","Australian Labor Party (N.S.W. Branch); ","0","20000","0","0","0"
"2024-25","Shop Distributive & Allied Employees Association - Tasmanian Branch","","Australian Labor Party (Tasmanian Branch); ","2896084","3415838","394417","0","0"
"2024-25","Shop Distributive & Allied Employees Association - VIC Branch","","Australian Labor Party (Victorian Branch); ","17242706","16098753","525817","0","0"
"2024-25","Shop Distributive & Allied Employees' Association NSW Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","21921251","24358047","1354468","0","0"
"2024-25","Shop Distributive and Allied Employees Association (QLD Branch)","","Australian Labor Party (State of Queensland); ","16752058","16820770","477092","0","0"
"2024-25","Shop, Distributive & Allied Employees' Association - National","","Australian Labor Party (ALP); ","11680353","18533146","766244","0","0"
"2024-25","Shop, Distributive and Allied Employees Association, South Australia","","Australian Labor Party (South Australian Branch); ","11280272","11669094","453983","0","0"
"2024-25","Shop, Distributive and Allied Employees Association, South Australian and Northern Territory Branch","","Australian Labor Party (Northern Territory) Branch; ","2065538","2153857","23010","0","0"
"2024-25","Sir Charles Court Foundation","SCCF WA Pty Ltd","Liberal Party (W.A. Division) Inc.; ","94269","3570","0","0","0"
"2024-25","Sir David Brand Foundation","","Liberal Party (W.A. Division) Inc; ","0","0","0","0","0"
"2024-25","SOLOMON INDEPENDENT PTY LTD","","Phil Scott; ","301023","229156","6000","0","0"
"2024-25","STANDING FOR LYNE PTY LTD","","Jeremy John Miller; ","12389","46951","711","0","0"
"2024-25","The 500 Club Inc","","Liberal Party (W.A. Division) Inc; ","268109","374212","5635","0","0"
"2024-25","The Australian Workers' Union NSW Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","14547719","12216611","594963","7425","0"
"2024-25","The Australian Workers' Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","14345196","14362121","5898423","0","0"
"2024-25","The Australian Workers' Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","9621331","9516867","427288","82500","0"
"2024-25","The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia","Dudley Pty Ltd Trustee for the Dudley Trust trading as Industrial Alliance","Australian Labor Party (Western Australian Branch); ","634363","427598","722","0","0"
"2024-25","The Chifley Research Centre Ltd","","Australian Labor Party (ALP); ","356149","361746","1977","313780","0"
"2024-25","The Federation of Hunting Clubs Inc","","Shooters, Fishers and Farmers Party; ","89555","74994","3300","0","0"
"2024-25","The Geelong 500 Club Inc","","Liberal Party of Australia (Victorian Division); ","750","1142","0","0","0"
"2024-25","The Green Institute Limited","","Australian Greens; ","197248","205547","38864","102085","0"
"2024-25","The Greenfields Foundation","","Liberal Party of Australia; ","0","0","0","0","0"
"2024-25","The Independent Cowper Pty Ltd","","Carolyn Gai Heise; ","2141656","1994969","0","0","0"
"2024-25","The Lady Wilson Foundation","","Liberal Party of Australia (S.A. Division); ","6144","0","0","0","0"
"2024-25","The Liberal Foundation Inc","","Liberal Party of Australia (S.A. Division); ","67949","37169","0","0","0"
"2024-25","The Liberal Party of Western Australia Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","335794","449390","567","0","0"
"2024-25","The Menzies Research Centre Limited","","Liberal Party of Australia; ","1540242","1517007","12493","313781","0"
"2024-25","The Nepean Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","The Page Research Centre Ltd","","National Party of Australia; ","400720","599837","0","151617","0"
"2024-25","The Pinnacle Club","","Liberal Party of Australia (Victorian Division); ","459551","535351","0","0","0"
"2024-25","The Sapphire Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","The Shop, Distributive & Allied Employees' Association of Western Australia","","Australian Labor Party (Western Australian Branch); ","8899605","8960016","666991","0","0"
"2024-25","The Sydney Small Business Club (The Warringah Club)","","Liberal Party of Australia; ","13950","5859","0","0","0"
"2024-25","The United Professional Firefighters Union of Western Australia","","Australian Labor Party (Western Australian Branch); ","1900053","1807502","63681","0","0"
"2024-25","The Violet Bobin Trust","","Australian Labor Party (State of Queensland); ","27902","34729","0","0","0"
"2024-25","TINA BROWN FOR BEROWRA PTY LTD","","Tina Brown; ","0","0","0","0","0"
"2024-25","Transport Workers Union (WA Branch)","","Australian Labor Party (Western Australian Branch); ","4809985","4455986","57498","0","0"
"2024-25","Transport Workers Union of Australia - NSW Branch","","Australian Labor Party (ACT Branch); ","3140387","2977864","191722","0","0"
"2024-25","Transport Workers Union of Australia NSW QLD Interim Governance Branch formerly Transport Workers Union of Australia Queensland","","Australian Labor Party (State of Queensland); ","6464850","7316793","272192","0","0"
"2024-25","Transport Workers Union of Australia SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","3406964","3302740","65586","0","0"
"2024-25","Transport Workers Union of New South Wales","","Australian Labor Party (N.S.W. Branch); ","16296393","16675925","682188","0","0"
"2024-25","Transport Workers Union VIC/TAS Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","8983956","9285391","529663","0","0"
"2024-25","United Firefighters Union of Australia QLD Branch","","Australian Labor Party (State of Queensland); ","0","0","0","0","0"
"2024-25","United Firefighters Union of Australia Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","445370","465042","0","0","0"
"2024-25","United Firefighters Union of Australia VIC","","Australian Labor Party (Victorian Branch); ","9157155","8097110","588138","0","0"
"2024-25","United Firefighters Union of SA Inc","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2024-25","Vapold Pty Ltd","","Liberal Party of Australia (Victorian Division); ","4222276","4343762","1099732","0","0"
"2024-25","Victorian Society of Labor Lawyers","","Australian Labor Party (Victorian Branch); Australian Labor Party (ALP); ","86688","91935","0","0","0"
"2024-25","Voices of Berowra Inc","","Tina Brown; ","32940","26684","0","0","0"
"2024-25","Voices of Chisholm Incorporated","","Kath Davies; ","4389","4030","0","0","0"
"2024-25","Voices of Corangamite","","Kate Lockhart; ","23013","15529","0","0","0"
"2024-25","Voices of Wannon Inc.","","Alex Dyson; ","6378","33939","0","0","0"
"2024-25","WA Labor Foundation Investment Company Pty Ltd","","Australian Labor Party (Western Australian Branch); ","1118","11708","0","0","0"
"2024-25","WANNON INDEPENDENT PTY LTD","","Alex Dyson; ","502","76474","0","0","0"
"2024-25","Warringah Independent Limited","","Zali Steggall; ","6637","11387","0","0","0"
"2024-25","YLNP No. 1 Ltd (James Killen Foundation)","","Liberal National Party of Queensland; ","39301","4367","0","0","0"
"2023-24","1973 Foundation Pty Ltd","","Australian Labor Party (ACT Branch); ","8003471","3408057","4277719","0","0"
"2023-24","281 Sandgate Road Investments Pty Ltd","","Liberal National Party of Queensland; ","0","0","0","0","0"
"2023-24","281 Sandgate Road Properties Pty Ltd","","Liberal National Party of Queensland; ","292080","316741","7574197","0","0"
"2023-24","A.C.N. 009 936 010 Pty Ltd","","Liberal National Party of Queensland; ","86331","86509","0","0","0"
