"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2022-23","19816","The Australian Workers' Union of Employees Queensland","54 942 536 069","","146728","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","45799","100% Renewable Community Campaign ","13753514032","","18156","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","44927","ABC Friends Ltd","56 642 876 800","642 876 800","32818","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","45075","ABC Friends NSW & ACT","54 530 872 593","","236909","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","38048","Australian Council for International Development","54 645 667 467","","57399","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","40337","Australian Marine Conservation Society","53409718351","","27608","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","19885","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","97 853 552 816","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","40595","Australian Services Union Western Australian Branch","65118845644","","26330","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","44896","Brisbane Flight Path Community Alliance","18 141 399 370","","37080","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","46308","Cherish Life Queensland Inc","44 470 248 746","","45096","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","40549","Christian Schools Australia Limited","49 092 580 124","092 580 124","28631","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","40617","Climate Action Network Australia","66 661 626 104","098 658 907","37846","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","44930","Climate Council of Australia Ltd","52 165 914 303","165 914 303","65513","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","16740","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","37695","Fair Agenda","99166475903","","16904","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","40790","Gender Awareness Australia Ltd","53629535271","629 535 271","46202","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","22730","Health Services Union","68 243 768 561","","199550","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2021-22","21234","Health Services Union NSW","85037751682","","77785","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","46297","Hilton Ross Grugeon","","","137456","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","48213","Leading Global Pty Ltd","","","22558","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","5021","Local Government Association of QLD (LGAQ)","11 010 883 293","142783917","28311","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2021-22","5310","Queensland Council of Unions","43 109 318 638","","149076","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2021-22","42689","Queensland Nurses and Midwives' Union","84382908052","","106567","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","45848","SEARCH Foundation","","","25841","N/A","N/A","N/A","N/A","N/A","23100","thirdparty"
"2021-22","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","48275","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","84622","N/A","N/A","N/A","N/A","N/A","44000","associatedentity"
"2021-22","36762","Smart Energy Council","3200 6824 148","006824148","200559","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2021-22","45847","Tasmanian Trades and Labor Council Inc","55482384108","","16446","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","19816","The Australian Workers' Union of Employees Queensland","54 942 536 069","","221409","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","44895","The Friends of the ABC SA Inc","50869031090","","15130","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","45802","The Royal Australasian College of Physicians","90 270 343 237","000 039 047 ","92503","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","20031","The Shop, Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","59433","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2021-22","37389","The Sunrise Project Australia Limited","65 159 324 697","159 324 697","87940","N/A","N/A","N/A","N/A","N/A","250000","organisationdonor"
"2021-22","20623","The Wilderness Society","18 611 229 086","611 229 086","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","44866","Unilever Australia Limited","66 004 050 828","004 050 828 ","78742","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2021-22","20161","Unions NSW","43 132 138 531","","227244","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2021-22","20118","Victorian Trades Hall Council","57 136 432 771","","167695","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2020-21","19885","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","97 853 552 816","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","18736","Australian Rail Tram & Bus Industry Union New South Wales Branch","55090785801","","17112","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","19861","Australian Workers Union WA Branch","23 613 523 164","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","68898","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","38546","Bob Brown Foundation Inc","51634785002","","55156","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2020-21","16488","Community and Public Sector Union CPSU (SPSF Group)","31 572 641 712","","0","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
