"Financial Year","Return Type","ClientFileId","Name","ABN","ACN","Lodged on behalf of","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits","Electoral Expenditure"
"2023-24","Significant Third Party Return","48501","AUSTRALIAN WATER HEATING MANUFACTURERS LTD","96 683 878 882","683 878 882","","0","0","0","0","0"
"2023-24","Significant Third Party Return","41533","Australian Youth Climate Coalition Limited","67 145 851 912","145 851 912","","1486754","1814274","69719","0","0"
"2023-24","Significant Third Party Return","48499","Australians for Prosperity","82155372136","","","0","0","0","0","0"
"2023-24","Significant Third Party Return","48475","Better Australia 2025 Incorporated","","","","0","0","0","0","0"
"2023-24","Significant Third Party Return","36451","Business Council of Australia","75 008 483 216","008 483 216","","15341510","14143794","355458","306980","0"
"2023-24","Significant Third Party Return","18748","CEPU - Electrical Division QLD & NT ","80450640455","","","15649237","14634565","14213006","0","1335"
"2023-24","Significant Third Party Return","40367","Climate 200 Pty Limited","98 632 816 383","632 816 383","","5990106","4607225","79361","0","381072"
"2023-24","Significant Third Party Return","4545","Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","60 429 406 804","","CEPU EE&SD – Western Australian Branch; CEPU EE&SD – Tasmanian Branch; CEPU EE&SD - South Australian Branch; CEPU EE&SD - Queensland and Northern Territory Branch; CEPU EE&SD - Victorian Branch; CEPU Electrical, Energy & Services Division (EE&SD) - New South Wales & Australian Capital Territory Branch","58805294","62775603","10229791","104734","1335"
"2023-24","Significant Third Party Return","21541","Community and Public Sector Union (PSU Group)","30987910747","","","35044177","34294509","1475386","0","344"
"2023-24","Significant Third Party Return","30037","Construction, Forestry, Maritime Employees Union","17402743835","","CFMEU - Maritime Union of Australia Division; CFMEU - Manufacturing Division; CFMEU - Construction & General Division, Western Australia Divisional Branch; CFMEU - Construction & General Division, Victoria-Tasmania Divisional Branch; CFMEU - Construction & General Division, South Australia Divisional Branch; CFMEU - Construction & General Division, Queensland-Northern Territory Divisional Branch; CFMEU - Construction & General Division, New South Wales Divisional Branch; CFMEU - Construction & General Division, National Office; CFMEU - Construction & General Division, Australian Capital Territory Divisional Branch","193269500","184223719","14848513","0","176952"
"2023-24","Significant Third Party Return","14306","Dick Smith","16 015 899 381","","","570","33742","0","0","33742"
"2023-24","Significant Third Party Return","50032","ENERGY FOR AUSTRALIANS INCORPORATED","59 664 499 234","","","0","0","0","0","0"
"2023-24","Significant Third Party Return","47666","Farming Families and Communities WA Ltd","56 677 294 585","677 294 585","","426287","109141","15064","0","109141"
"2023-24","Significant Third Party Return","30343","GetUp Limited","99114027986","114 027 986","","6806754","6267173","141831","0","0"
"2023-24","Significant Third Party Return","48498","HOTHOUSEMAG PTY LTD","37680620204","680620204","","0","0","0","0","0"
"2023-24","Significant Third Party Return","42958","It's Not A Race Ltd","11 655 404 489","655 404 489","","353921","348515","0","0","78518"
"2023-24","Significant Third Party Return","49579","JOBS FOR MINING COMMUNITIES PTY LTD","62 677 489 833","677 489 833","","0","0","0","0","0"
"2023-24","Significant Third Party Return","42808","Kim 4 Canberra Pty Limited","42 653 631 906","","","0","0","0","0","0"
"2023-24","Significant Third Party Return","42811","Kooyong Independent Limited","","","","123711","78942","6996","0","0"
"2023-24","Significant Third Party Return","42809","Kylea Tink Independent Limited ","25 655 238 065","655 238 065","","299376","281558","1065","0","0"
"2023-24","Significant Third Party Return","23060","Master Builders Australia Ltd","68137130182","137130182","","6169166","5911204","1827169","437800","411794"
"2023-24","Significant Third Party Return","48461","MINERALOGY PTY LTD","65010582680","010582680","","455516705","245180146","2151967","0","0"
"2023-24","Significant Third Party Return","47225","Mining and Energy Union","18 128 983 744","","Mining and Energy Union Victorian District Branch; Mining and Energy Union Queensland District Branch; Mining and Energy Union South Western District Branch; Mining and Energy Union Northern Mining and NSW Energy District Branch","67453309","72972927","1745927","119886","24400"
"2023-24","Significant Third Party Return","48459","Muslim Votes Matter PTY LTD","33 675 222 858","675 222 858","","0","0","0","0","0"
"2023-24","Significant Third Party Return","34439","National Disability Services Limited","52 008 445 485","008 445 485","","20040266","25091014","574771","7590515","0"
"2023-24","Significant Third Party Return","50089","Neighbours of Fish Farming (NOFF) Inc","473 096 904 52","","","118263","92905","0","0","0"
"2023-24","Significant Third Party Return","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","","66083066","62464857","1789577","0","0"
"2023-24","Significant Third Party Return","48487","QJ Collective Limited","59677755494","677755494","","0","0","0","0","0"
"2023-24","Significant Third Party Return","20649","Queensland Teachers Union","62 408 519 861","","","39272076","33859700","1261728","0","0"
"2023-24","Significant Third Party Return","47831","Regional Voices Fund Pty Ltd","44675794859","675794859","","10000","8193","0","0","0"
"2023-24","Significant Third Party Return","42989","Smart Voting Pty Ltd","17 657 051 182","657 051 182","","13810","40385","3772","0","27765"
"2023-24","Significant Third Party Return","42021","The Parenthood Project Limited","","","","477677","508054","30173","0","0"
"2023-24","Significant Third Party Return","29810","Together Queensland Industrial Union of Employees","","","","1528981","734082","77252","0","0"
"2023-24","Significant Third Party Return","48460","UNITED AUSTRALIA PARTY","62483931277","","","241056","521611","11786","0","0"
"2023-24","Significant Third Party Return","18834","United Workers Union","52728088684","","","104066004","106982266","1418598","0","40000"
"2023-24","Significant Third Party Return","44881","Victoria Forward Pty Ltd","23641527175","641527175","","0","0","0","0","0"
"2023-24","Significant Third Party Return","48497","VIDA IMPACT FUND PTY LTD","76 683 675 407","683 675 407","","0","0","0","0","0"
"2023-24","Significant Third Party Return","42979","Voices of Bradfield Inc","","","","16878","14111","0","0","0"
"2023-24","Significant Third Party Return","42187","Vote Angus Out Pty Ltd","","650 853 464","","0","0","0","0","0"
"2022-23","Significant Third Party Return","42742","1 in 50 Incorporated","","","","0","0","0","0","0"
"2022-23","Significant Third Party Return","41168","Advance Australia","55628503702","","","5160592","4466005","40961","0","4506965"
"2022-23","Significant Third Party Return","42812","Allegra for Wentworth Pty Ltd","89 649 709 357","","","0","0","168","0","0"
"2022-23","Significant Third Party Return","38540","ANIMALS AUSTRALIA ","65 016 845 767","617 080 387","","16616670","17740298","266616","0","0"
"2022-23","Significant Third Party Return","30236","Australian Automobile Association","25008526369","008526369","","20002425","15840176","1265895","7506367","0"
"2022-23","Significant Third Party Return","41169","Australian Chamber of Commerce and Industry","85 008 391 795","008 391 795","","6061069","7828822","295614","0","0"
"2022-23","Significant Third Party Return","15605","Australian Christian Lobby","40 075 120 517","075 120 517","","8444684","10785442","106432","0","0"
"2022-23","Significant Third Party Return","20499","Australian Conservation Foundation Incorporated","22007498482","","","21078954","20425230","584905","0","0"
"2022-23","Significant Third Party Return","19364","Australian Council of Trade Unions","67175982800","","uPoint Pty Ltd; Union Membership Australia Pty Ltd trustee company of Unions; Union Innovation Hub Pty Ltd; ACTU-JCH Pty Ltd trustee company of John Curtin House Trust; ACTU Super Shareholding Pty Ltd; ACTU Property Pty Ltd trustee company of ACTU Property Trust; ACTU Member Connect Pty Ltd trustee company of ACTU; ACTU Education Inc; ACTU Building Canberra Pty Ltd trustee company of ACTU Building Canberra Trust; ACN 005 962 167 Pty Ltd trustee company of ACTU Building Trust; ACN 005 461 601 Pty Ltd; ACN 005 454 035 Pty Ltd trustee company of ACTU Travel Trust; ACN 004 861 321 Pty Ltd; ACN 004 861 312 Pty Ltd; ACN 004 306 316 Limited; A.C.T.U.-A.C.S.P.A. Child Care Centre Limited; The Centre for Workers’ Capital Pty Ltd","23032517","25177318","1568661","168106","783023"
"2022-23","Significant Third Party Return","30314","Australian Education Union ","16006296647","","Australian Education Union Western Australian Branch; Australian Education Union Victorian Branch; Australian Education Union Tasmanian Branch; Australian Education Union South Australian Branch; Australian Education Union Queensland Branch; Australian Education Union Northern Territory Branch; Australian Education Union ACT Branch; AEU NSW Teachers Federation","102280111","95605851","5152559","0","451212"
"2022-23","Significant Third Party Return","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","","5342087","5693823","135038","0","0"
